epoch,loss,lr,output_age_loss,output_age_myMAE,output_emotion_acc,output_emotion_loss,output_gender_acc,output_gender_loss,val_loss,val_output_age_loss,val_output_age_myMAE,val_output_emotion_acc,val_output_emotion_loss,val_output_gender_acc,val_output_gender_loss
0,3.0970866924770757,0.1,1.9882201430260862,24.285281585296115,0.2420271822358346,0.8178832949120637,0.5478369065849923,0.25651612343868474,3.97954420543973,3.327268947260992,14.002741289103888,0.13773283084024593,0.231891950066325,0.721335032414295,0.40388378724599255
1,2.8750214462806034,0.1,1.9537677511869491,23.916618602454754,0.35811638591117917,0.6921291287332363,0.5674387442572741,0.2116932412384115,3.9029087531761517,3.3164577298738,14.28247209729482,0.2720494536786542,0.20969426251510134,0.7511048450424851,0.3583938918277123
2,2.7849511817622514,0.1,1.9481755485943595,23.93078342981032,0.40268950995405817,0.6213019654953461,0.5719659264931087,0.19588293516252525,3.8706603041052787,3.2943654630957484,13.972428835198189,0.314887617599181,0.20242458081111614,0.7480411029584696,0.3536263334928248
3,2.702179825798841,0.1,1.938713046529574,23.957226453258286,0.42761294027565083,0.5537211535170469,0.5641845329249617,0.18772549147490886,3.869453307045963,3.304458478201503,14.301678281238532,0.26280400183720365,0.20605693641623088,0.7448689097877607,0.3359752473554542
4,2.640765980082303,0.1,1.9369926169674392,23.975519599155117,0.4356240428790199,0.49906763622443123,0.5555225880551302,0.1811893318641423,3.8661333577375565,3.2848518646465084,13.955258666591511,0.32296722066430555,0.21738840212833727,0.7670742618469749,0.33934968051164305
5,2.589470312460276,0.1,1.935439380642831,23.98474685353488,0.4504977029096478,0.45125773834324173,0.551885528330781,0.1784893709749759,3.884148827855242,3.279877474783584,13.516408041081194,0.2505219206729066,0.2365708397806678,0.7790309898788595,0.34374793734121384
6,2.5349409329763417,0.1,1.9290372326399612,23.81720021935736,0.46358154670750384,0.4058186763073182,0.5585566615620214,0.17522839840906593,3.8828236102941505,3.298327109148073,14.025108061381594,0.20741262912493294,0.21636361385172012,0.7831521296993731,0.34281941936932253
7,2.4975459276990906,0.1,1.9274000674257965,23.881485504687838,0.47371745788667685,0.36833792167043977,0.5886389739663094,0.1760292589921179,3.838847407762546,3.26608684117063,13.701091276863387,0.3023344087997609,0.22263630741676751,0.7699753273785206,0.3240527109047358
8,2.301453048784919,0.01,1.9032681802878153,24.264586328620386,0.5492247320061255,0.2143547348233131,0.5876244257274119,0.16077124592413125,3.8305910654396116,3.2540423341768734,14.090835032331075,0.29658650326466374,0.24523719656452247,0.7630073475617278,0.31078504441058086
9,2.1871787685347552,0.01,1.8971969260921158,24.22046788085657,0.5858824655436448,0.11317612564877234,0.5826856814701378,0.15763667980594073,3.871542571814837,3.2527371377905903,14.147647223943059,0.2968305181264974,0.29060417132681055,0.7595911395413056,0.30999907170863583
